Model,Group,Model Number,GDT_TS
T1249v2TS465_5,TS465,5,0.192
T1249v2TS196_5,TS196,5,0.181
T1249v2TS489_3,TS489,3,0.178
T1249v2TS489_4,TS489,4,0.177
T1249v2TS085_5,TS085,5,0.175
T1249v2TS489_1,TS489,1,0.175
T1249v2TS085_1,TS085,1,0.174
T1249v2TS085_2,TS085,2,0.174
T1249v2TS085_3,TS085,3,0.174
T1249v2TS085_4,TS085,4,0.173
T1249v1TS031_1,TS031,1,0.172
T1249v2TS196_4,TS196,4,0.171
T1249v2TS489_2,TS489,2,0.171
T1249v2TS196_3,TS196,3,0.17
T1249v2TS465_1,TS465,1,0.167
T1249v2TS196_1,TS196,1,0.165
T1249v1TS196_3,TS196,3,0.164
T1249v2TS014_6,TS014,6,0.164
T1249v1TS196_4,TS196,4,0.163
T1249v1TS465_3,TS465,3,0.163
T1249v1TS085_5,TS085,5,0.161
T1249v2TS489_5,TS489,5,0.161
T1249v1TS085_1,TS085,1,0.16
T1249v1TS085_3,TS085,3,0.16
T1249v1TS085_4,TS085,4,0.16
T1249v2TS465_2,TS465,2,0.16
T1249v1TS031_4,TS031,4,0.159
T1249v1TS085_2,TS085,2,0.159
T1249v1TS323_1,TS323,1,0.159
T1249v1TS465_5,TS465,5,0.159
T1249v2TS014_4,TS014,4,0.159
T1249v1TS345_6,TS345,6,0.158
T1249v1TS465_2,TS465,2,0.158
T1249v2TS014_2,TS014,2,0.158
T1249v2TS014_5,TS014,5,0.158
T1249v2TS196_2,TS196,2,0.158
T1249v2TS345_6,TS345,6,0.158
T1249v1TS117_2,TS117,2,0.157
T1249v1TS196_2,TS196,2,0.156
T1249v2TS465_4,TS465,4,0.156
T1249v1TS196_5,TS196,5,0.155
T1249v2TS014_3,TS014,3,0.155
T1249v1TS489_2,TS489,2,0.154
T1249v1TS139_3,TS139,3,0.153
T1249v1TS139_5,TS139,5,0.152
T1249v1TS294_3,TS294,3,0.149
T1249v1TS139_1,TS139,1,0.148
T1249v1TS015_6,TS015,6,0.145
T1249v2TS015_6,TS015,6,0.145
T1249v1TS465_4,TS465,4,0.144
T1249v1TS117_1,TS117,1,0.142
T1249v1TS117_3,TS117,3,0.141
T1249v1TS117_4,TS117,4,0.136
T1249v1TS117_5,TS117,5,0.126
