Model,Group,Model Number,Model Version,GDT_TS
T1249v2TS419_4,TS419,4,v2,0.359
T1249v2TS221_5,TS221,5,v2,0.358
T1249v2TS419_5,TS419,5,v2,0.358
T1249v1TS287_2,TS287,2,v1,0.35
T1249v1TS204_5,TS204,5,v1,0.345
T1249v1TS393_1,TS393,1,v1,0.344
T1249v2TS221_2,TS221,2,v2,0.344
T1249v2TS286_2,TS286,2,v2,0.344
T1249v2TS419_2,TS419,2,v2,0.344
T1249v1TS489_5,TS489,5,v1,0.339
T1249v1TS262_2,TS262,2,v1,0.326
T1249v1TS015_1,TS015,1,v1,0.321
T1249v2TS015_2,TS015,2,v2,0.321
T1249v2TS267_4,TS267,4,v2,0.317
T1249v1TS264_3,TS264,3,v1,0.311
T1249v1TS312_3,TS312,3,v1,0.311
T1249v1TS110_4,TS110,4,v1,0.31
T1249v1TS110_5,TS110,5,v1,0.31
T1249v1TS147_4,TS147,4,v1,0.31
T1249v1TS462_4,TS462,4,v1,0.31
T1249v1TS204_3,TS204,3,v1,0.309
T1249v2TS262_2,TS262,2,v2,0.309
T1249v1TS075_1,TS075,1,v1,0.307
T1249v1TS075_3,TS075,3,v1,0.307
T1249v1TS110_1,TS110,1,v1,0.307
T1249v1TS122_1,TS122,1,v1,0.307
T1249v1TS122_4,TS122,4,v1,0.307
T1249v1TS147_2,TS147,2,v1,0.307
T1249v1TS284_1,TS284,1,v1,0.307
T1249v1TS284_3,TS284,3,v1,0.307
T1249v1TS462_2,TS462,2,v1,0.307
T1249v1TS475_1,TS475,1,v1,0.307
T1249v1TS475_3,TS475,3,v1,0.307
T1249v1TS264_1,TS264,1,v1,0.306
T1249v1TS312_1,TS312,1,v1,0.306
T1249v2TS008_3,TS008,3,v2,0.306
T1249v2TS167_5,TS167,5,v2,0.306
T1249v2TS450_5,TS450,5,v2,0.306
T1249v1TS028_1,TS028,1,v1,0.305
T1249v1TS110_3,TS110,3,v1,0.305
T1249v1TS147_1,TS147,1,v1,0.305
T1249v1TS148_4,TS148,4,v1,0.305
T1249v1TS264_5,TS264,5,v1,0.305
T1249v1TS312_5,TS312,5,v1,0.305
T1249v1TS462_1,TS462,1,v1,0.305
T1249v2TS008_4,TS008,4,v2,0.305
T1249v1TS148_2,TS148,2,v1,0.304
T1249v1TS148_3,TS148,3,v1,0.304
T1249v1TS264_4,TS264,4,v1,0.304
T1249v1TS264_6,TS264,6,v1,0.304
T1249v1TS312_4,TS312,4,v1,0.304
T1249v1TS028_2,TS028,2,v1,0.303
T1249v1TS075_5,TS075,5,v1,0.303
T1249v1TS110_2,TS110,2,v1,0.303
T1249v1TS122_2,TS122,2,v1,0.303
T1249v1TS147_3,TS147,3,v1,0.303
T1249v1TS148_5,TS148,5,v1,0.303
T1249v1TS284_5,TS284,5,v1,0.303
T1249v1TS393_5,TS393,5,v1,0.303
T1249v1TS462_3,TS462,3,v1,0.303
T1249v1TS475_5,TS475,5,v1,0.303
T1249v1TS075_2,TS075,2,v1,0.302
T1249v1TS122_3,TS122,3,v1,0.302
T1249v1TS147_5,TS147,5,v1,0.302
T1249v1TS264_2,TS264,2,v1,0.302
T1249v1TS284_2,TS284,2,v1,0.302
T1249v1TS312_2,TS312,2,v1,0.302
T1249v1TS462_5,TS462,5,v1,0.302
T1249v1TS475_2,TS475,2,v1,0.302
T1249v1TS028_5,TS028,5,v1,0.301
T1249v1TS075_4,TS075,4,v1,0.301
T1249v1TS122_5,TS122,5,v1,0.301
