Model,Group,Model Number,Model Version,GDT_TS
T1228v2TS163_3,TS163,3,v2,0.42556
T1228v1TS014_6,TS014,6,v1,0.42556
T1228v1TS079_4,TS079,4,v1,0.42509
T1228v2TS293_4,TS293,4,v2,0.42509
T1228v1TS293_4,TS293,4,v1,0.42509
T1228v2TS079_4,TS079,4,v2,0.42509
T1228v1TS014_5,TS014,5,v1,0.42509
T1228v2TS287_5,TS287,5,v2,0.42463
T1228v1TS163_1,TS163,1,v1,0.42369
T1228v1TS388_1,TS388,1,v1,0.42369
T1228v2TS163_1,TS163,1,v2,0.42369
T1228v1TS014_4,TS014,4,v1,0.42369
T1228v2TS059_1,TS059,1,v2,0.42322000000000004
T1228v1TS059_1,TS059,1,v1,0.42274999999999996
T1228v2TS269_1,TS269,1,v2,0.42274999999999996
T1228v1TS269_1,TS269,1,v1,0.42274999999999996
T1228v1TS079_1,TS079,1,v1,0.42228
T1228v2TS293_1,TS293,1,v2,0.42228
T1228v2TS388_2,TS388,2,v2,0.42228
T1228v1TS163_4,TS163,4,v1,0.42228
T1228v2TS163_4,TS163,4,v2,0.42228
T1228v1TS293_1,TS293,1,v1,0.42228
T1228v2TS079_1,TS079,1,v2,0.42228
T1228v1TS475_1,TS475,1,v1,0.42182000000000003
T1228v1TS204_2,TS204,2,v1,0.42182000000000003
T1228v2TS204_1,TS204,1,v2,0.42182000000000003
T1228v1TS287_1,TS287,1,v1,0.42088000000000003
T1228v1TS284_2,TS284,2,v1,0.42088000000000003
T1228v1TS122_2,TS122,2,v1,0.42088000000000003
T1228v2TS388_1,TS388,1,v2,0.42088000000000003
T1228v1TS075_2,TS075,2,v1,0.42088000000000003
T1228v1TS014_3,TS014,3,v1,0.42088000000000003
T1228v2TS489_4,TS489,4,v2,0.41994
T1228v2TS489_1,TS489,1,v2,0.41994
T1228v1TS287_5,TS287,5,v1,0.41901000000000005
T1228v2TS235_2,TS235,2,v2,0.41901000000000005
T1228v1TS235_2,TS235,2,v1,0.41901000000000005
T1228v1TS475_4,TS475,4,v1,0.41759999999999997
T1228v2TS269_4,TS269,4,v2,0.41713
T1228v1TS204_3,TS204,3,v1,0.41713
T1228v2TS204_5,TS204,5,v2,0.41713
